title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
We Own This City,Crime drama,,We Own This City by Justin Fenton,,Reinaldo Marcus Green,"['Jon Bernthal', 'Wunmi Mosaku', 'Jamie Hector', 'Josh Charles', 'McKinley Belcher III', 'Darrell Britt-Gibson', 'Rob Brown', 'David Corenswet', 'Dagmara Domińczyk', 'Don Harvey', 'Larry Mitchell']",,Kris Bowers,United States,English,,6,"['David Simon', 'George Pelecanos', 'Reinaldo Marcus Green', 'Nina Kostroff Noble', 'Ed Burns', 'Kary Antholis']",,,,,Single-camera,58 minutes,"['Spartan Productions', 'Blown Deadline Productions', 'HBO Entertainment']",,HBO,"['1080i ( HDTV )', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","April 25 ( 2022-04-25 ) – May 30, 2022 ( 2022-05-30 )",,,,,,,,,,"Baltimore, Maryland",,,,,"['George Pelecanos', 'David Simon']",,,,,,,,,
The Hitchhiker,Anthology Horror Mystery,,,,,Page Fletcher Nicholas Campbell,,,United States Canada France,English,6,85,Lewis Chesler (1986–1987) Riff Markowitz (1986–1987) Richard Rothstein Jeremy Lipp Jacques Methe David Perlmutter,,,,,,30 minutes (approx),,,HBO (1983–1987) First Choice (1983–1987) USA Network (1989–1991) La Cinq (1989–1991),,,"November 23, 1983 ( 1983-11-23 ) – February 22, 1991 ( 1991-02-22 )",,Paul Hoffert Shuki Levy Michel Rubini Haim Saban,,,,,Chester/Perlmutter/Markowitz Productions,,,,,,,,,,,,,,,,,
The Ray Bradbury Theater,,,,,,"Ray Bradbury , miscellaneous special guests",,,Canada United States New Zealand France Australia United Kingdom,,6,65 ( list of episodes ),,,,,,,1571 minutes,,,First Choice Superchannel / HBO (seasons 1–2) USA Network (seasons 3–6),,,"May 21, 1985 ( 1985-05-21 ) – October 30, 1992 ( 1992-10-30 )",,,,,John Massari,,,,,,,,,,,,,,,,,,,
Tales from the Crypt,"['Anthology', 'Horror', 'Black comedy', 'Dark fantasy']",William Gaines Steven Dodd,"['Tales from the Crypt by', 'William Gaines', 'Al Feldstein']",,,,,,United States,,7,93 ( list of episodes ),"['Richard Donner', 'David Giler', 'Walter Hill', 'Joel Silver', 'Robert Zemeckis']",,,,,,22–30 minutes,Tales from the Crypt Holdings Geffen Television,,HBO [1],NTSC,Dolby Surround 2.0,"June 10, 1989 ( 1989-06-10 ) – July 19, 1996 ( 1996-07-19 )",,"['Steve Bartek', 'Frank Becker', 'Bruce Broughton', 'Michel Colombier', 'Bill Conti', 'Ry Cooder', 'Cliff Eidelman', 'Christopher Franke', 'Jay Ferguson', 'Jan Hammer', 'James Horner', 'Vladimir Horunzhy', 'Michael Kamen', 'David Mansfield', 'David Newman', 'Nicholas Pike', 'J. Peter Robinson', 'Michel Rubini', 'Alan Silvestri', 'Jimmy Webb', 'Walter Werzowa']",,,Danny Elfman,,,,,,English French Spanish for Latin American,,,,,,,John Kassir,,,,,,
Lifestories: Families in Crisis,,,,,,,,,United States,English,2,,"Eve Silverman, Francine Lefrak",,,,,,30 minutes,,,HBO,,,"August 1, 1992 ( 1992-08-01 ) – February 8, 1996 ( 1996-02-08 )",,,,,,,,,,,,,,,,,,,,,,,,
Hotel Room,,"['Monty Montgomery', 'David Lynch']",,"['Barry Gifford', 'Jay McInerney']","['David Lynch', 'James Signorelli']","['Glenne Headly', 'Freddie Jones', 'Harry Dean Stanton', 'Griffin Dunne', 'Deborah Unger', 'Mariska Hargitay', 'Chelsea Field', 'Crispin Glover', 'Alicia Witt']",,Angelo Badalamenti,United States,English,,3,"['Monty Montgomery', 'David Lynch']",,,Peter Deming,"['Mary Sweeney', 'David Siegel', 'Toni Morgan']",,"27, 25, 47 minutes","['Asymmetrical Productions', 'Propaganda Films']",,HBO,NTSC,Stereophonic sound,"January 8, 1993 ( 1993-01-08 )",,,,,,,,,Deepak Nayar,,,,David Lynch's Hotel Room,,,,,,,,,,,
Perversions of Science,,,Weird Science by William Gaines,,,,,,United States,English,1,10 ( list of episodes ),"['Richard Donner', 'David Giler', 'Walter Hill', 'Joel Silver', 'Robert Zemeckis']",,,,,,22 minutes (approx.),"['EC Comics', 'HBO']",,HBO,,,"June 7 ( 1997-06-07 ) – July 23, 1997 ( 1997-07-23 )",,"['J. Peter Robinson', 'Ernest Troost', 'Frank Becker', 'Chris Boardman', 'Eric Colvin', 'Mark Mothersbaugh', 'Mark Snow', 'Dan Wool']",,,Danny Elfman,,,,Gilbert Adler,,,,,,,,,Maureen Teefy,,,,,,
Room 104,"['Anthology', 'Comedy', 'Drama', 'Horror', 'Thriller']","['Mark Duplass', 'Jay Duplass']",,,,,,Julian Wass,United States,English,4,48 ( list of episodes ),"['Mark Duplass', 'Jay Duplass', 'Mel Eslyn', 'Sydney Fleischmann', 'Xan Aranda']",,,,,,21–29 minutes,"['HBO Entertainment', 'Duplass Brothers Productions']",,HBO,1080i ( HDTV ),,"July 28, 2017 ( 2017-07-28 ) – October 9, 2020 ( 2020-10-09 )",,,,,,,,,,,,,,,,,,,,,,,,
Folklore,,Eric Khoo,,,,,,,"['Indonesia', 'Japan', 'Thailand', 'Malaysia', 'Singapore', 'South Korea (season 1)', 'Taiwan (season 2)', 'Philippines (season 2)']",,2,13 ( list of episodes ),,,,,,,60 minutes,,,HBO Asia,,,"October 7, 2018 ( 2018-10-07 ) – September 16, 2022 ( 2022-09-16 )",,,,,,,Zhao Wei Films,,,,,,,,,,,,,,,,,
Spicy City,"['Anthology', 'Cyberpunk', 'Erotica', 'Science fiction']",Ralph Bakshi,,Various,Various,,,John McCarthy,United States,English,1,6 ( list of episodes ),,,,,,,25 minutes,"['HBO Animation', 'HBO Entertainment']",,HBO,,,"July 11 ( 1997-07-11 ) – August 22, 1997 ( 1997-08-22 )",,,,,,,,,Catherine Winder,,,,,,,Ralph Bakshi,,Michelle Phillips,,,,,,
Todd McFarlane's Spawn,"['Action', 'Crime', 'Drama', 'Science fantasy', 'Superhero', 'Supernatural horror']",Todd McFarlane,Spawn by Todd McFarlane,,,,Richard Dysart,,United States,English,3,18,,"['Catherine Winder', 'John Kafka']",,,,,26–30 minutes (episodes) 180 minutes (films),"['HBO Animation', 'Todd McFarlane Entertainment', 'Madhouse']",,HBO [1],,,"May 16, 1997 ( 1997-05-16 ) – May 28, 1999 ( 1999-05-28 )",,"['Shirley Walker', 'J. Peter Robinson', 'Graeme Revell']",,,Shirley Walker,,,,,,,,,,Alan B. McElroy,Todd McFarlane,,"['Keith David', 'Richard Dysart', 'Michael Nicolosi', 'James Hanes', 'Dominique Jennings', 'James Keane', 'John Rafter Lee', 'Victor Love', 'Michael McShane', 'Kath Soucie']",,,,,,
The Life & Times of Tim,"['Animated', 'Sitcom']",Steve Dildarian,,Steve Dildarian,Steve Dildarian,,,,United States,English,3,30,"['Steve Dildarian', 'Mike Clements', 'Tom Werner', 'Jimmy Miller', 'Leynete Cariapa (S2-3)']",,,,,,,"['HBO Entertainment', 'Insane Loon Productions', 'Media Rights Capital', 'Warner Bros. Television']",,HBO,,,"September 28, 2008 ( 2008-09-28 ) – February 17, 2012 ( 2012-02-17 )",,,,""" I'll Never Get Out of This World Alive "" by Hank Williams","['Fred Rose', 'Hank Williams']",,,,Monica Mitchell,,,,,,,,,"['Steve Dildarian', 'Mary Jane Otto', 'Matt Johnson', 'Nick Kroll', 'Peter Giles']",,,,,,
The Ricky Gervais Show,Cartoon Comedy Podcast,Ricky Gervais Stephen Merchant Karl Pilkington,,,Craig Kellman (season 1) Dan Fraga (seasons 2–3),,,Glyn Hughes,United States United Kingdom,English,3,39 ( list of episodes ),Ricky Gervais Stephen Merchant Karl Pilkington Glyn Hughes Bob Higgins Lisa Ullmann Steve Patrick (seasons 2–3),Michelle Papandrew (season 1) Michelle Wilson (season 2) Pamela Arseneau (season 3),,,Damon P. Yoches (season 1) Mattaniah Adams (seasons 2–3),,22–25 minutes,Wildbrain Entertainment Media Rights Capital HBO Entertainment,,HBO (United States) Channel 4 / E4 (United Kingdom),,,19 February 2010 ( 2010-02-19 ) – 13 July 2012 ( 2012-07-13 ),,,,,,,,,,,,,,,,,,Ricky Gervais Stephen Merchant Karl Pilkington,,,,,,
Animals,Comedy,"['Phil Matarese', 'Mike Luciano']",,"['Phil Matarese', 'Mike Luciano']","['Phil Matarese', 'Mike Luciano']",,,Julian Wass,United States,English,3,30 ( list of episodes ),"['Phil Matarese', 'Mike Luciano', 'Mark Duplass', 'Jay Duplass']","['James Fino', 'Kenny Micka', 'Jen Roskind', 'Joe Russo', 'Josh Polon']",,,,,22–30 minutes,"['HBO Entertainment', 'Karen BBQ', 'Duplass Brothers Television', 'Starburns Industries [1]']",,HBO,,,"February 5, 2016 ( 2016-02-05 ) – October 5, 2018 ( 2018-10-05 )",,,,,,,,,,,,,,,,,,"['Phil Matarese', 'Mike Luciano']",,,,,,
Fraggle Rock,"['Comedy', ""Children's"", 'Slapstick', 'Fantasy', 'Musical']",Jim Henson,,"['Jerry Juhl (head writer)', 'Philip Balsam', 'Carol Bolt', 'David Brandes', 'Jim Henson', 'Susan Juhl', 'Dennis Lee', 'Barrie Phillip Nichol', 'Laura Phillips', 'Bob Sandler', 'Jocelyn Stevenson', 'Sugith Varughese', 'David Young']","['Nick Abson', 'Jeremy Swan', 'George Bloomfield', 'Norman Campbell', 'Peter Harris', 'Jim Henson', 'Richard Hunt', 'Doug Williams', 'Martin Lavut', 'Terry Maskell', 'Wayne Moss', 'Perry Rosemond', 'Les Rose', 'Eric Till']","['Gerry Parkes as Doc (US and Canada)', 'Michel Robin as Doc (France)', 'Hans-Helmut Dickow as Doc (Germany)', 'Fulton Mackay as The Captain (UK)', 'John Gordon Sinclair as P.K. (UK)', ""Simon O'Brien as B.J. (UK)"", 'Muppet performers:', 'Jerry Nelson', 'Dave Goelz', 'Steve Whitmire', 'Kathryn Mullen', 'Karen Prell', 'Richard Hunt', 'Jim Henson']",,,"['United Kingdom', 'United States', 'Canada']",English,5,96 ( list of episodes ),,,"['Toronto , Ontario, Canada', 'TVS Television Centre , Maidstone , United Kingdom']",,,,25 minutes,,,"['CBC (Canada)', 'HBO (US)', ""Children's ITV on ITV (UK)""]","['NTSC (U.S. and Canada)', 'PAL (International)']","['Stereo (1983–1985)', 'Dolby Surround (1986–1987)']","January 10, 1983 ( 1983-01-10 ) – March 30, 1987 ( 1987-03-30 )",Christopher Roy,"['Philip Balsam', 'Dennis Lee']",,"""Down at Fraggle Rock"" (first verse)",,,Henson Associates,,Jerry Juhl,,,,"[""Jim Henson's Fraggle Rock"", ""Fraggle Rock with Jim Henson's Muppets""]",,,Jim Henson,"""Down at Fraggle Rock"" (second verse)",,,,,,,
HBO Storybook Musicals,,,,,,Various,,,United States,English,,18,,,,,,,,"HBO Michael Sporn Animation Klasky Csupo (episode 6) Cinar (""The Real Story of..."") Random House (episode 18)",,HBO,4:3,,"November 18, 1987 ( 1987-11-18 ) – December 8, 1993 ( 1993-12-08 )",,,,,,,,,,,,,,,,,,,,,,,,
Seabert,,,,Jacques Morel Éric Turlot,,,,,France,,1,26,,,,,,,,,,Antenne 2 HBO,,,"October 3, 1985 ( 1985-10-03 )",,,,,Marc Tortarolo,,,,,,French English,,,,,,,,,,,,,
The Real Story of Happy Birthday to You,,,,Don Arioli Gerald Potterton William Litwack,,Roger Daltrey Ed Asner,,,,,,,,,,,,,30 minutes,Cinar France Animation S.A.,,,,,,,,Milan Kymlicka,,,,,,,,,,,,,,,,William Litwack Ronald A. Weinberg,Nathalie Rossin,CTV Television Network,"January 4, 1992 ( 1992-01-04 )",Canada France,English
Happily Ever After: Fairy Tales for Every Child,Animation Anthology,,,Joe Menendez Daryl G. Nickens Gordon Lewis Franklyn Ajaye Barry Douglas,Bruce W. Smith Edward Bell Anthony Bell,,Robert Guillaume,Stephen James Taylor,United States,English,3,39,,,,,,,30 minutes,Hyperion Animation Two Oceans Entertainment Group Confetti Entertainment Company HBO,,HBO,4:3,,"March 12, 1995 ( 1995-03-12 ) – July 18, 2000 ( 2000-07-18 )",,,,,,,,,,,,,,,,Carole Rosen,,,,,,,,
The Little Lulu Show,Comedy,,Little Lulu by Marjorie Henderson Buell,,"['Greg Bailey', 'Louis Piché', 'Nick Rijgersberg']",Tracey Ullman (season 1) Jane Woods (seasons 2-3),,Jeff Fisher,"['Canada', 'United States', 'Germany (season 3)']",English,3,52 (156 segments) ( list of episodes ),"['Micheline Charest', 'Nancy Steingard', 'Ronald A. Weinberg', 'Peter Völkle (season 3)']","['Ronald A. Weinberg', 'Cassandra Schafhausen', 'Lesley Taylor', 'Associate producers:', 'Thomas LaPierre', 'Natalie Dumoulin']",,,,,22 minutes (7 minutes per segment),"['CINAR Corporation [a]', 'Western Publishing/Golden Books Family Entertainment', 'TMO-Loonland Film GmbH (season 3)']",,Canada CTV (seasons 1–2) Family Channel (season 3) United States HBO (seasons 1–2),NTSC,Dolby Surround,"November 11, 1995 ( 1995-11-11 ) – February 21, 1999 ( 1999-02-21 )",,,,"""Little Lulu""","['Buddy Kaye', 'Sidney Lippman', 'Fred Wise']",,,,,,,,,,,,,,,,,,,
The Neverending Story,,,The Neverending Story by Michael Ende,,Mike Fallows,Christopher Bell,,Milan Kymlicka,Canada France Germany,English,1,26 ( list of episodes ),,,,,,,,CineVox Entertainment Ellipse Programmé Nelvana,,HBO (United States) Family Channel (Canada),,,"December 2, 1995 ( 1995-12-02 ) – May 25, 1996 ( 1996-05-25 )",,,,,,,,,,,,,,,Peter Sauder,,,Janet-Laine Green Dominic Zamprogna Chris Wiggins Christopher Bell Neil Crone Marilyn Lightstone Benedict Campbell John McGrath Lisa Yamanaka Richard Binsley James Rankin John Stocker Colin Fox Dan Hennessey Gary Krawford Howard Jerome Don Francks Wayne Robson Len Carlson Ellen Ray Hennessey Geoffrey Bowes Harvey Atkin Jayne Eastwood,,,,,,
Tales from the Neverending Story,,,,,,Mark Rendall Tyler Hynes,,,Canada,English,1,4 ( television movies ' version) / 13 [1] ( list of episodes ),,,,,,,,,,HBO,,,"October 1, 2001 ( 2001-10-01 ) – January 1, 2002 ( 2002-01-01 )",,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Paddington Bear,,Michael Bond,,,Marcos DaSilva (seasons 1 and 2) Francois Perreault (season 3),,,Milan Kymlicka,France Canada,,3,39 (Whole) 117 (Segments) ( list of episodes ),"['Micheline Charest', 'Ronald A. Weinberg', 'Patricia Robert (co-executive producer']",,,,,,24 minutes,CINAR Corporation [a] Protecrea,,Canada Teletoon France Canal J (Season 1-2) TF1 United Kingdom ITV (Season 1-2),"NTSC , 4:3",Dolby Surround,"June 14, 1997 ( 1997-06-14 ) – February 2, 2000 ( 2000-02-02 )",Natalie Rossin,,,"""He's Paddington Bear (One of a Kind)""",,,,,Cassandra Schafhausen,,English French,,,,,,"""He's Paddington Bear (One of a Kind)"" (Instrumental)","['Jonathan Kydd', 'Jon Glover', 'John R. Hernandez', 'Eve Karpf', 'Cyril Shaps', 'Nigel Lambert', 'Meriam Stover', 'Moir Leslie', 'Steven Webb', 'Jade Williams', 'John Baddeley']",,,,,,
The Country Mouse and the City Mouse Adventures,Animation Adventure Neo-noir Mystery,,The Country Mouse and the City Mouse by Aesop the same characters from children book by Random House [1],Joseph Mallozzi (Season 1 only) Patrick Granleese Caroline R. Maria Bruce Robb Paul Schibli (adaptation),,,,James Gelfand,France Canada,,2 [2],52 ( list of episodes ),Chris Jenkins Jason David Ross Kate Bosworth,,,,,,24 minutes,"CINAR Films France Animation Ravensburger Film & TV WIC Entertainment Reader's Digest (Season 1) Videal (Season 1) Motion Pictures, S.A. (Season 1)",,France: Canal J France 3 Canada: TVOntario (Season 1) YTV Ici Radio-Canada Télé U.S.: HBO,,Dolby Surround,"March 1, 1998 ( 1998-03-01 ) – October 27, 1999 ( 1999-10-27 )",,,,,,,,,Lisa Taylor,,French English,,The Mouse Adventures (United Kingdom),,,,,Terrence Scammell Julie Burroughs Rick Jones Holly Gauthier-Frankel,,,,,,
A Little Curious,Anthology Comedy Educational,Steve Oakes,,Carin Greenberg Baker Nicholas Hollander Laurie Israel Becky Mode Alana Sanko Frederick J. Stroppel,Steve Oakes,,,Pat Irwin,United States,English,2,43,Carole Rosen Sheila Nevins Susan Holden Steve Oakes Richard Winkler David Starr,,,,,,24 minutes,,,HBO,,,"February 1, 1999 ( 1999-02-01 ) – May 1, 2000 ( 2000-05-01 )",,,,"""I'm a Little Curious"" performed by The Manhattan Transfer",The Manhattan Transfer,,Curious Pictures,,John Hoffman,,,,,,,,"""I'm a Little Curious"" (instrumental)",Cameron Bowen Amanda Kaplan Gary Yudman Marilyn Pasekoff Sandy Correia Bob Kaliban Gerrianne Raphael Rafael Ferrer,,,,,,
Crashbox,"['Educational', ""Children's"", 'Variety', 'Science fiction']","['Eamon Harrington', 'John Watkin']",,,Dave Thomas,,,Matthew Morse,"['Canada', 'United States']",English,2,52,"['Adam Shaheen', 'Eamon Harrington', 'John Watkin']","['Eamon Harrington', 'John Watkin']","['Toronto , Ontario , Canada', 'Malibu, California']",,,Single-Camera,25 minutes,"['Planet Grande Pictures', 'Cuppa Coffee Animation', 'HBO Entertainment']",,HBO Family,NTSC,,"February 1, 1999 ( 1999-02-01 ) – April 1, 2000 ( 2000-04-01 )",,,,,,,,,,,,,,,,,,"['Maggie Baird', 'Veena Bidasha', 'S. Scott Bullock', 'Greg Eagles', 'Arif S. Kinchen', 'Peter Lurie', 'Dawn Maxey', 'Edie McClurg', 'Michael McShane', 'Ritchie Montgomery', 'Alan Schlaifer', 'John Watkin', 'Mari Weiss', 'Danny Wells']",,,,,,
Anthony Ant,,,,,,,,,"['Canada', 'United Kingdom']",English,1,27,,,,,,,15 minutes per episode (approx.),"['Funbag Animation Studios', 'HIT Entertainment']",,HBO Family YTV,16:9,Stereo,1 February ( 1999-02-01 ) – 18 April 1999 ( 1999-04-18 ),,,,"""Anthony Ant"" (insrumental)",,,,,,,,,,,,,"""Anthony Ant"" (instrumental, reprise)","['Alan Marriott', 'April Ford', 'Adrienne Posta', 'Dan Russell', 'Bob Saker', 'Melanie Hudson']",,,,,,
George and Martha,Children's show Comedy,James Marshall,,,John Van Bruggen Chris LaBonte Glen Sylvester,,,,Canada United States,English,,26 (52 segments),,,,,,,,Wild Things Productions Nelvana,,YTV HBO Family,NTSC,Stereo,"April 1, 1999 ( 1999-04-01 ) – May 1, 2000 ( 2000-05-01 )",,,,""" Perfidia "" by Mambo All-Stars",,,,,,,,,,,,,,Nathan Lane Andrea Martin Sean Cullen Robin Duke Kathryn Greenwood Greg Kramer Debra McGrath Colin Mochrie Tony Rosato Dwayne Hill,,,,,,
Rainbow Fish,,Marcus Pfister,The Rainbow Fish by Marcus Pfister,"['Dean Stefan', 'Rowby Goren', 'Dave Bennett', 'John R. Cote', 'Ian James Corlett', 'Brooks Anderson', 'Gabe Lloyd', 'Patricia Davis', 'Lara Johnston', 'Jonathan Moss', 'Marcus Johnson', 'Katie Betts', 'Sindy McKay', 'Philip Stinson', 'Erika Strobel']",Drew Edwards,"['Rhys Huber', 'Andrew Francis', 'Lee Tockar', 'Erin Fitzgerald', 'Chantal Strand', 'French Tickner', 'Alex Doduk', 'Colin Murdock', 'John Payne', 'Bill Switzer', 'Ellen Kennedy', 'Chiara Zanni', 'Christopher Gray', 'Kathleen Barr']",,Matthew McCauley,Germany Canada United States,English,1,52,"['Steven DeNure', 'Loris Kramer', 'Neil Court', 'Franz Auersperg']",,,,,,15 minutes per episode (approx.),"['Decode Entertainment', 'EM.TV', 'Sony Wonder Television', 'Rainbow Fish Productions']",,"['Teletoon (Canada)', 'ZDF (Germany)', 'Tiny Pop / CITV (UK)', 'HBO Family (US)', 'Sony Wonder (US)', 'Sunbow Entertainment (international) [1]']",4:3 / PAL,Stereo,"January 8 ( 2000-01-08 ) – December 24, 2000 ( 2000-12-24 )",Judy Kaling,,,"""There's A Rainbow in the Water"" by Blu Mankuma and Saffron Henderson",Blu Mankuma,,,,Beth Stevenson,,,,,,,,"""There's A Rainbow in the Water (Reprise)"" (instrumental)",,,,,,,
Animated Tales of the World,"Animation , Family",Christopher Grace,,,,,,,United Kingdom,English,3,39 [1],,,,,,,,,,HBO (US) Channel 4 (UK),NTSC,Stereo,11 February 2001 ( 2001-02-11 ) – 3 November 2003 ( 2003-11-03 ),,,,,,,Children's Television Trust International [2],,,,,,,,,,,,,,,,,
Harold and the Purple Crayon,,,,,,,Sharon Stone,,United States,English,1,13 ( list of episodes ),,,,,,,23 minutes,Adelaide Productions Columbia TriStar Television,,HBO Family,,,"December 1, 2001 ( 2001-12-01 ) – March 23, 2002 ( 2002-03-23 )",,Van Dyke Parks Kevin Kiner,,,,,,,Bob Hathcock,,,,,,Carin Greenberg Baker Jeff Kline,Jeff Kline,,Connor Matheus,,,,,,
I Spy,,,,,,,,,United States,English,2,52 (26 half-hour episodes),,Jean Marzollo Walter Wick,,,,,22-24 minutes (2 11 minute segments),The Ink Tank (Season 1) JWL Entertainment Productions (Season 2) Scholastic Media,,HBO Family,4:3,,"December 14, 2002 ( 2002-12-14 ) – September 21, 2003 ( 2003-09-21 )",,,,,,,,,,,,,,,,Deborah Forte,,Tara Jayne Ellen Lee Cindy Creekmore Big Al,,,,,,
Stuart Little,,E. B. White (characters),,Melody Fox,Rick Wilkie,,,,United States Italy,,1,13 ( list of episodes ),Douglas Wick Lucy Fisher,,,,,,23 minutes,Adelaide Productions Red Wagon Entertainment Sony Pictures Television,,HBO Family,,Dolby Digital 5.1,"March 1 ( 2003-03-01 ) – May 24, 2003 ( 2003-05-24 )",,Kevin Kiner Van Dyke Parks,,Stuart Little theme by Alan Silvestri,,,,,,New York City,English Italian,,,,,,,David Kaufman Hugh Laurie Myles Jeffrey Quinton Flynn Jennifer Hale André Sogliuzzo,,,,,,
Classical Baby,,,,,Amy Schatz,,,,USA,,,6,,,,,,,25 Minutes,,,HBO HBO Family,,,"May 14, 2005 ( 2005-05-14 ) – present",,,,,,,Home Box Office,,,,,,,,,,,,,,,,,
Sesame Street,"[""Children's television series"", 'Educational']","['Joan Ganz Cooney', 'Lloyd Morrisett', 'Jim Henson']",,,,,,,United States,English,53,"4,633 [note 1]","['David Connell (1969–72) [1] [2]', 'Jon Stone (1972–78) [3] [4]', 'Al Hyslop (1978–80) (credited as ""producer"" in season 10) [5]', 'Dulcy Singer (1980–93) [6] [7]', 'Michael Loman (1993–2002) [8] [9]', 'Lewis Bernstein (2003–05) [10] [11]', 'Carol-Lynn Parente (2006–17) [12]', 'Brown Johnson (2017–19)', 'Benjamin Lehmann (2018–present)']",,"['Reeves Teletape Studios (1969–92)', 'Unitel Video, Inc. (1987–93)', 'Kaufman Astoria Studios (1993–present)']",,,,"['60 minutes (1969–2015)', '30 minutes (2014–present)']",,,"['NET (1969–1970)', 'PBS (1970–present)', 'HBO (2016–2020)', 'Max (2020–present)']",NTSC (1969–2008) HDTV 1080i (2008–present),,"November 10, 1969 ( 1969-11-10 ) – present",,,,""" Can You Tell Me How to Get to Sesame Street? ""","['Joe Raposo', 'Jon Stone', 'Bruce Hart']",,Sesame Workshop [note 2],,,,,,,,,,"['""Can You Tell Me How to Get to Sesame Street?"" (instrumental; up until season 45)', '""Smarter, Stronger, Kinder"" (season 46 onwards)']",,,,,,,
Esme & Roy,"['Preschool', 'Musical', 'Comedy', 'Fantasy']","['Dustin Ferrer', 'Amy Steinberg']",,['Dustin Ferrer Leah Gotcsik Becky Friedman Jennifer Hamburg Clark Stubbs Jim Nolan Sam Dransfield Ron Holsey Dana Starfield Liz Hara Dan Danko Evan Sinclair Corey Powell Margaret Hoffman Lucas Mills Brian Hohlfeld Caitlin Hodson Rick Suvalle Laura Kleinbaum Kristofer Wellman Guy Toubes Lisa Kettle Keion Jackson Leah Kanabroski Michael Matosic Mike Nawrocki'],Mike Fallows,,,,"['United States', 'Canada']",English,2,52 (103 segments) ( list of episodes ),"['Scott Dyer', 'Kay Wilson Stallings', 'Steve Talkington', 'Jacob Soley', 'Leah Gotsick', 'Shomoy', 'Doug Murphy', 'Dustin Ferrer (co-executive producer)', 'Amy Steinberg (co-executive producer)']","['Melissa Graham', 'Machi Tantillo', 'Studio ""MIDI-Cinema""']",,,,,23 minutes,"['Sesame Workshop', 'Nelvana [1]']",,"['HBO (United States; season 1)', 'HBO Max (United States; season 2)', 'Treehouse TV (Canada)']",HDTV 1080i,Dolby Digital 5.1,"August 18, 2018 ( 2018-08-18 ) – February 4, 2021 ( 2021-02-04 )",,"['Matt Ouimet', 'Carl Lenox', 'Andy McNeill', 'Daniel Ingram', 'D.D. Jackson', 'Jonathan Evans']",,"""Esme & Roy Theme Song"" by Kellylee Evans",Jonathan Evans,,,,,,,,,,,,"""Esme & Roy Theme Song"" (instrumental)",['Patrick McKenna Millie Davis'],,,,,,
Time Was,,,,,,Dick Cavett,,,United States,,,7,,,,,,,60 minutes,,,HBO,,,1979 ( 1979 ),,,,,,,,,,,,,,,,,,,,,,,,
Time Was,,,,,,Dick Cavett,,,United States,,,7,,,,,,,60 minutes,,,HBO,,,1979 ( 1979 ),,,,,,,,,,,,,,,,,,,,,,,,
America Undercover,,,,Mark C. Baldwin,"['Jon Alpert', 'Fenton Bailey']",,,,United States,English,,,,,,,,,,,,HBO,,,1983 ( 1983 ) – 2006 ( 2006 ),,,,,,,America Undercover,Oliver Stone,Brent Owens,,,,,,,Sheila Nevins,,,,,,,,
Real Sex,,,,,,,,Perez Prado,United States,English,,33,,,,,,,,,,HBO,,,June 1990 ( 1990-06 ) – December 2009 ( 2009-12 ),,,,"""Perfidia"" by Mambo All-Stars",,,,,,,,,,,,,Patricia,,,,,,,
Autopsy,,,,,Arthur Ginsberg,Michael Baden,Marlene Sanders,,United States,English,9,,,,,,,Mead Hunt,,,,,,,,Johanna Giebelhaus,,,,,,,,Gaby Monet,,,,,,,,,,,,,,,
Taxicab Confessions,,,,,Harry Gantz Joe Gantz,,,,United States,,11,19,,Harry Gantz Joe Gantz John Hoffman,Las Vegas New York City,Mitchell Wagenberg Joe Gantz,,,,,,HBO,,,January 1995 ( 1995-01 ) – 2006 ( 2006 ),Aaron I. Butler,,,,,,,,,,,,,,,Sheila Nevins,,,,,,,,
G String Divas,,,,,Patti Kaplan,,,,United States,English,1,13,,,,,,,30 minutes,,,HBO,,,"September 23, 2000 ( 2000-09-23 ) – 2000 ( 2000 )",,,,,,,,,,,,,,,,,,,,,,,,
Kindergarten,,,,,Karen Goodman Kirk Simon,,Oliver Simon,,United States,English,1,13,Dolores Morris Bill Chase,Nancy Baker Sarah Safer,,Greg Andracke Buddy Squires Gary Steele,Nancy Baker Bruce Shaw,,,,,HBO Family,,,"August 26 ( 2001-08-26 ) – September 7, 2001 ( 2001-09-07 )",,Kathy Jo Barrett David Grover Terry Hall Mark Kelso Charlie Tokarz,,""" Hush Little Baby "" by Bobby McFerrin and Yo-Yo Ma",,,Parallel Pictures & Television,,,"Upper Nyack, New York",,,,,,,,,,,,,,
